POLITICIAN,BUY/SELL,COMPANY,SIZE OF OPTION
Michael McCaul, sell,Schwab (Charles) Corp,15K–50K
Michael McCaul, sell,Meta Platforms Inc,15K–50K
Michael McCaul, sell,Wells Fargo & Co,15K–50K
Rudy Yakym, buy,US TREASURY BILLS,1K–15K
Michael McCaul, sell,Fiserv Inc,1K–15K
Marjorie Taylor Greene, buy,Alphabet Inc,1K–15K
Marjorie Taylor Greene, buy,Berkshire Hathaway Inc,1K–15K
Marjorie Taylor Greene, buy,Blackstone Group Inc,1K–15K
Marjorie Taylor Greene, buy,Cardinal Health Inc,1K–15K
Marjorie Taylor Greene, buy,CrowdStrike Holdings Inc,1K–15K
Marjorie Taylor Greene, buy,Intel Corp,1K–15K
Marjorie Taylor Greene, buy,Lam Research Corp,1K–15K
Marjorie Taylor Greene, buy,Microsoft Corp,1K–15K
Marjorie Taylor Greene, buy,Southern Copper Corp,1K–15K
Marjorie Taylor Greene, buy,United Parcel Service Inc,1K–15K
Michael McCaul, sell,Vanguard S&P 500 ETF,500K–1M
Pete Sessions, buy,NVIDIA Corporation,1K–15K
Bill Keating, sell,Bank of America Corp,1K–15K
Bill Keating, sell,Becton Dickinson and Co,1K–15K
Bill Keating, sell,Caterpillar Inc,1K–15K
Bill Keating, sell,Comcast Corp,15K–50K
Bill Keating, sell,Elevance Health Inc,1K–15K
Bill Keating, sell,General Motors Co,1K–15K
Bill Keating, sell,JPMorgan Chase & Co,1K–15K
Bill Keating, sell,Lowe's Cos Inc,1K–15K
Bill Keating, sell,Meta Platforms Inc,1K–15K
Bill Keating, sell,Microsoft Corp,1K–15K
Bill Keating, sell,NXP Semiconductors NV,1K–15K
Bill Keating, sell,PepsiCo Inc,1K–15K
Bill Keating, sell,T-Mobile US Inc,1K–15K
Bill Keating, sell,Union Pacific Corp,1K–15K
Bill Keating, sell,US TREASURY NOTE,15K–50K
Bill Keating, sell,Verizon Communications Inc,1K–15K
Laurel Lee, buy,JPMorgan Chase & Co,50K–100K
Pete Sessions, sell,Altria Group Inc,1K–15K
Pete Sessions, buy,NVIDIA Corporation,1K–15K
Rudy Yakym, buy,US TREASURY BILLS,50K–100K
Max Miller, buy,RAC OPPORTUNITY FUND II LP,1K–15K
Pete Sessions, buy,Microsoft Corp,1K–15K
Marjorie Taylor Greene, buy,US TREASURY BILLS,100K–250K
Rudy Yakym, buy,US TREASURY BILLS,1K–15K
John James, sell,Abbott Laboratories,1K–15K
John James, sell,AbbVie Inc,1K–15K
John James, sell,Accenture PLC,1K–15K
John James, sell,Advanced Micro Devices Inc,1K–15K
John James, sell,Air Products and Chemicals Inc,1K–15K
John James, sell,Alphabet Inc,1K–15K
John James, sell,Alphabet Inc,1K–15K
John James, sell,Amazon.com Inc,1K–15K
John James, sell,Ameren Corporation,1K–15K
John James, sell,American Electric Power Co Inc,1K–15K
John James, sell,Analog Devices Inc,1K–15K
John James, sell,Apple Inc,1K–15K
John James, sell,Applied Materials Inc,1K–15K
John James, sell,Aptiv PLC,1K–15K
John James, sell,AT&T Inc,1K–15K
John James, sell,Automatic Data Processing Inc,1K–15K
John James, sell,AvalonBay Communities Inc,1K–15K
John James, sell,Avantor Inc,1K–15K
John James, sell,Avery Dennison Corp,1K–15K
John James, sell,Bank of America Corp,1K–15K
John James, sell,Becton Dickinson and Co,1K–15K
John James, sell,Berkshire Hathaway Inc,1K–15K
John James, sell,Blackrock Inc,1K–15K
John James, sell,Blackstone Group Inc,< 1K
John James, sell,Booz Allen Hamilton Holding Corporation,1K–15K
John James, sell,BP PLC,1K–15K
John James, sell,Broadcom Inc,1K–15K
John James, sell,Cardinal Health Inc,1K–15K
John James, sell,CDW Corp,1K–15K
John James, sell,Chevron Corp,1K–15K
John James, sell,Chubb Ltd,1K–15K
John James, sell,Ciena Corp,1K–15K
John James, sell,Cisco Systems Inc,1K–15K
John James, sell,CME Group Inc,1K–15K
John James, sell,The Coca-Cola Co,1K–15K
John James, sell,Cognizant Technology Solutions Corp,1K–15K
John James, sell,Comcast Corp,1K–15K
John James, sell,ConocoPhillips,1K–15K
John James, sell,Corteva Inc,1K–15K
John James, sell,Crown Castle International Corp,1K–15K
John James, sell,Cummins Inc,1K–15K
John James, sell,Diageo PLC,1K–15K
John James, sell,Discover Financial Services,1K–15K
John James, sell,Dollar Tree Inc,1K–15K
John James, sell,The Dun & Bradstreet Corp,1K–15K
John James, sell,eBay Inc,1K–15K
John James, sell,Electronic Arts Inc,1K–15K
John James, sell,Elevance Health Inc,1K–15K
John James, sell,Entergy corporation,1K–15K
John James, sell,EOG Resources Inc,1K–15K
John James, sell,Exxon Mobil Corp,1K–15K
John James, sell,Fidelity National Financial Inc FNF Group,1K–15K
John James, sell,Fortive Corp,1K–15K
John James, sell,General Mills Inc,1K–15K
John James, sell,Genuine Parts Co,1K–15K
John James, sell,The Home Depot Inc,1K–15K
John James, sell,Honeywell International Inc,1K–15K
John James, sell,Humana Inc,1K–15K
John James, sell,Icon PLC,1K–15K
John James, sell,Illinois Tool Works Inc,1K–15K
John James, sell,Intercontinental Exchange Inc,1K–15K
John James, sell,International Business Machines Corp,1K–15K
John James, sell,Johnson & Johnson,1K–15K
John James, sell,JPMorgan Chase & Co,1K–15K
John James, sell,KLA Corp,1K–15K
John James, sell,Lam Research Corp,1K–15K
John James, sell,Linde PLC,1K–15K
